username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data,,,,,
";2018-09-24 00:00;0;0;""katurugi na kuya ta pirot lang an"";;;;""1043892888935968768"";https://twitter.com/nikkiiimaeee/status/1043892888935968768",,,,,,
";2018-09-23 23:50;0;1;""https://twitter.com/thisisndrw/status/1043888276971479041 …"";;;;""1043890253868617729"";https://twitter.com/nikkiiimaeee/status/1043890253868617729",,,,,,
";2018-09-23 23:48;0;0;""picture mo o picture ni Donny?"";;;;""1043889795926188032"";https://twitter.com/nikkiiimaeee/status/1043889795926188032",,,,,,
";2018-09-23 23:41;0;3;""Gagong Tyrone lakas makaprank!!"";;;;""1043888080057335808"";https://twitter.com/nikkiiimaeee/status/1043888080057335808",,,,,,
";2018-09-23 23:39;0;0;""huuuy shet hahaha"";;;;""1043887582919057409"";https://twitter.com/nikkiiimaeee/status/1043887582919057409",,,,,,
";2018-09-23 23:32;0;1;""wowow kyah"";;;;""1043885708081913857"";https://twitter.com/nikkiiimaeee/status/1043885708081913857",,,,,,
";2018-09-23 23:12;0;5;""Tang pogi mo talaga @ donnypangilinan"";;@;;""1043880729451458560"";https://twitter.com/nikkiiimaeee/status/1043880729451458560",,,,,,
";2018-09-23 09:44;0;2;""See you later babe @ donnypangilinan"";;@;;""1043677388100390912"";https://twitter.com/nikkiiimaeee/status/1043677388100390912",,,,,,
";2018-09-22 22:54;0;0;""nyata bawal mag ulok?"";;;;""1043513901122379776"";https://twitter.com/nikkiiimaeee/status/1043513901122379776",,,,,,
";2018-09-22 22:41;0;1;""HAHAHAHAHAHAHAHA"";;;;""1043510665971810310"";https://twitter.com/nikkiiimaeee/status/1043510665971810310",,,,,,
";2018-09-22 21:07;0;1;"""";;;;""1043486849392472064"";https://twitter.com/nikkiiimaeee/status/1043486849392472064",,,,,,
";2018-09-22 20:59;0;1;""HAHAHAHAHA cute"";;;;""1043484856250904576"";https://twitter.com/nikkiiimaeee/status/1043484856250904576",,,,,,
";2018-09-21 13:06;0;0;"""";;;;""1043003607312826369"";https://twitter.com/nikkiiimaeee/status/1043003607312826369",,,,,,
";2018-09-20 22:14;0;3;""pic.twitter.com/ccUV5gVLf6"";;;;""1042779070834958336"";https://twitter.com/nikkiiimaeee/status/1042779070834958336",,,,,,
";2018-09-20 10:44;0;1;""Still in bed"";;;;""1042605345019838465"";https://twitter.com/nikkiiimaeee/status/1042605345019838465",,,,,,
";2018-09-19 20:55;0;1;""thank you"," kuya Tope!"";;;;""1042396664391061504"";https://twitter.com/nikkiiimaeee/status/1042396664391061504",,,,,
";2018-09-19 19:13;0;0;""Weh hahaha thanks dad! https://twitter.com/kierlita/status/1042363906541252615 …"";;;;""1042371053962506240"";https://twitter.com/nikkiiimaeee/status/1042371053962506240",,,,,,
";2018-09-19 18:13;0;6;""Di pa nga gumagaling may mga scheds nanaman hay"";;;;""1042355943520952320"";https://twitter.com/nikkiiimaeee/status/1042355943520952320",,,,,,
";2018-09-19 11:10;1;0;"""";;;;""1042249604585025536"";https://twitter.com/nikkiiimaeee/status/1042249604585025536",,,,,,
";2018-09-18 21:42;1;1;""Maya maya tulog na https://twitter.com/francchezka/status/1041954067038130176 …"";;;;""1042046140521369600"";https://twitter.com/nikkiiimaeee/status/1042046140521369600",,,,,,
";2018-09-18 21:21;0;0;""isu arog arog"";;;;""1042040959750557696"";https://twitter.com/nikkiiimaeee/status/1042040959750557696",,,,,,
";2018-09-18 19:36;0;0;""Headache"";;;;""1042014574713561088"";https://twitter.com/nikkiiimaeee/status/1042014574713561088",,,,,,
";2018-09-17 22:48;0;0;""Aw cuteee"";;;;""1041700463979061249"";https://twitter.com/nikkiiimaeee/status/1041700463979061249",,,,,,
";2018-09-17 21:00;0;1;""ganyan ka po ba mag lakad kuya?"";;;;""1041673150553968642"";https://twitter.com/nikkiiimaeee/status/1041673150553968642",,,,,,
";2018-09-17 07:38;1;1;""Di ko man lang nafeel yung long weekend"";;;;""1041471390283530240"";https://twitter.com/nikkiiimaeee/status/1041471390283530240",,,,,,
";2018-09-16 20:57;0;2;""sana yung mga next time na yun hindi ako busy"";;;;""1041310214505414656"";https://twitter.com/nikkiiimaeee/status/1041310214505414656",,,,,,
";2018-09-16 20:09;0;1;"""";;;;""1041297999589044225"";https://twitter.com/nikkiiimaeee/status/1041297999589044225",,,,,,
";2018-09-16 12:35;0;4;""Bawal malate"," bawas tf haha"";;;;""1041183859117764608"";https://twitter.com/nikkiiimaeee/status/1041183859117764608",,,,,
";2018-09-16 09:37;0;3;""Ngayon pala movie date naming girls kala ko next sunday pa"";;;;""1041138939082432512"";https://twitter.com/nikkiiimaeee/status/1041138939082432512",,,,,,
";2018-09-16 00:39;0;0;""bukas tayo maga sine???"";;;;""1041003587092983808"";https://twitter.com/nikkiiimaeee/status/1041003587092983808",,,,,,
";2018-09-15 09:26;0;0;"":("";;;;""1040773778886746112"";https://twitter.com/nikkiiimaeee/status/1040773778886746112",,,,,,
";2018-09-15 09:23;0;2;""oh agang aga nanaman kuya Tof"";;;;""1040772954450100224"";https://twitter.com/nikkiiimaeee/status/1040772954450100224",,,,,,
";2018-09-14 21:17;0;2;""So freakin tayooooord"";;;;""1040590420076457985"";https://twitter.com/nikkiiimaeee/status/1040590420076457985",,,,,,
";2018-09-14 00:19;0;2;""Himala di ko natulogan"";;;;""1040273701667840000"";https://twitter.com/nikkiiimaeee/status/1040273701667840000",,,,,,
";2018-09-12 07:25;0;1;""Laging kulang sa tulog"";;;;""1039656150575149057"";https://twitter.com/nikkiiimaeee/status/1039656150575149057",,,,,,
";2018-09-11 22:53;0;0;""sore throat & runny nose"";;;;""1039527414202650624"";https://twitter.com/nikkiiimaeee/status/1039527414202650624",,,,,,
";2018-09-10 22:28;0;1;""Short tempered"";;;;""1039158554270126081"";https://twitter.com/nikkiiimaeee/status/1039158554270126081",,,,,,
";2018-09-10 12:45;0;3;""Perf weather for a rest day"";;;;""1039011917346402304"";https://twitter.com/nikkiiimaeee/status/1039011917346402304",,,,,,
";2018-09-10 02:34;0;2;""Aaaah finally in bed!!!"";;;;""1038858189008064514"";https://twitter.com/nikkiiimaeee/status/1038858189008064514",,,,,,
";2018-09-09 01:43;0;0;""kilala ko haha"";;;;""1038482880677130240"";https://twitter.com/nikkiiimaeee/status/1038482880677130240",,,,,,
";2018-09-08 20:19;0;0;""Ang bigat mo @ Xenabatalla !!!"";;@;;""1038401456515084288"";https://twitter.com/nikkiiimaeee/status/1038401456515084288",,,,,,
";2018-09-08 10:33;0;1;""""Trust in the Lord always for the Lord God is the eternal rock."" -Isaiah 26:4"";;;;""1038253840343040000"";https://twitter.com/nikkiiimaeee/status/1038253840343040000",,,,,,
";2018-09-08 07:44;0;0;""Loaded sched today"";;;;""1038211338714017792"";https://twitter.com/nikkiiimaeee/status/1038211338714017792",,,,,,
";2018-09-08 07:36;3;1;""More sleep plsss"";;;;""1038209396264685568"";https://twitter.com/nikkiiimaeee/status/1038209396264685568",,,,,,
";2018-09-07 00:03;0;0;""Productive daaay"";;;;""1037733053047554048"";https://twitter.com/nikkiiimaeee/status/1037733053047554048",,,,,,
";2018-09-05 21:55;0;3;""I can see you"";;;;""1037338552290496514"";https://twitter.com/nikkiiimaeee/status/1037338552290496514",,,,,,
";2018-09-04 22:32;0;0;""bakla"";;;;""1036985384771567616"";https://twitter.com/nikkiiimaeee/status/1036985384771567616",,,,,,
";2018-09-03 20:24;0;0;""Sleepy"";;;;""1036590843937710081"";https://twitter.com/nikkiiimaeee/status/1036590843937710081",,,,,,
";2018-09-03 20:09;0;1;""uy thanks!"";;;;""1036586882916737025"";https://twitter.com/nikkiiimaeee/status/1036586882916737025",,,,,,
";2018-09-03 06:28;0;1;""isu agang aga Tope"";;;;""1036380312941420545"";https://twitter.com/nikkiiimaeee/status/1036380312941420545",,,,,,
";2018-09-02 22:14;0;0;""see you!!"";;;;""1036255994823684101"";https://twitter.com/nikkiiimaeee/status/1036255994823684101",,,,,,
";2018-09-02 21:29;1;1;""Kala ko walang pasok bukas"";;;;""1036244759923191808"";https://twitter.com/nikkiiimaeee/status/1036244759923191808",,,,,,
";2018-09-02 13:24;0;0;"""";;;;""1036122631357878272"";https://twitter.com/nikkiiimaeee/status/1036122631357878272",,,,,,
";2018-09-01 23:08;0;2;"""";;;;""1035907167964942340"";https://twitter.com/nikkiiimaeee/status/1035907167964942340",,,,,,
";2018-08-31 23:05;0;0;""Hi sir! Baka di man po ako yun hahaha joke"";;;;""1035544005369450497"";https://twitter.com/nikkiiimaeee/status/1035544005369450497",,,,,,
";2018-08-31 07:19;0;2;""Sarap matulog"";;;;""1035306016710115328"";https://twitter.com/nikkiiimaeee/status/1035306016710115328",,,,,,
";2018-08-30 21:19;0;4;""Control your temper"," Nikki."";;;;""1035155045216468993"";https://twitter.com/nikkiiimaeee/status/1035155045216468993",,,,,
";2018-08-30 19:40;0;0;""HAHAHA"";;;;""1035130092781891586"";https://twitter.com/nikkiiimaeee/status/1035130092781891586",,,,,,
";2018-08-30 19:35;0;0;""thanks Abi! Hahaha"";;;;""1035128839079260162"";https://twitter.com/nikkiiimaeee/status/1035128839079260162",,,,,,
";2018-08-30 07:44;0;10;""Akala ko wednesday ngayon.. lahat ng gr 11 naka pe"," ako lang naka uniform!! HAHAHA"";;;;""1034949974956498944"";https://twitter.com/nikkiiimaeee/status/1034949974956498944",,,,,
";2018-08-29 22:53;0;1;""isuuu"";;;;""1034816320586493953"";https://twitter.com/nikkiiimaeee/status/1034816320586493953",,,,,,
";2018-08-29 22:52;0;0;""ikaw lang nag iisip nyan bruh"";;;;""1034816176122019840"";https://twitter.com/nikkiiimaeee/status/1034816176122019840",,,,,,
";2018-08-29 19:53;0;1;"""";;;;""1034771115371978757"";https://twitter.com/nikkiiimaeee/status/1034771115371978757",,,,,,
";2018-08-29 19:44;0;1;""Nahuli ni kuya"";;;;""1034768819208646657"";https://twitter.com/nikkiiimaeee/status/1034768819208646657",,,,,,
";2018-08-29 00:24;0;3;""Wala parin tricy.. pwede bang dito nalang sa kalsada matulog"";;;;""1034476831716466689"";https://twitter.com/nikkiiimaeee/status/1034476831716466689",,,,,,
";2018-08-28 23:50;0;1;"""";;;;""1034468338791936001"";https://twitter.com/nikkiiimaeee/status/1034468338791936001",,,,,,
";2018-08-28 07:39;0;3;""""Love is patient"," Love is kind"" - Corinthians 13:4"";;;;""1034223958579589120"";https://twitter.com/nikkiiimaeee/status/1034223958579589120",,,,,
";2018-08-27 22:14;0;4;""Wtw?"";;;;""1034081831061139456"";https://twitter.com/nikkiiimaeee/status/1034081831061139456",,,,,,
";2018-08-27 22:14;0;2;""Library palan hahahahttps://twitter.com/nikkaaaajane/status/1033991808747859968 …"";;;;""1034081676312236037"";https://twitter.com/nikkiiimaeee/status/1034081676312236037",,,,,,
";2018-08-27 01:29;0;0;""sinasabihan pa ng ""di kumakain"""";;;;""1033768341276569600"";https://twitter.com/nikkiiimaeee/status/1033768341276569600",,,,,,
";2018-08-27 01:21;0;0;""same!!"";;;;""1033766435598741504"";https://twitter.com/nikkiiimaeee/status/1033766435598741504",,,,,,
";2018-08-26 21:53;0;1;""Your sleepy voice"";;;;""1033714031217930240"";https://twitter.com/nikkiiimaeee/status/1033714031217930240",,,,,,
";2018-08-26 21:23;0;1;""Missed calls"";;;;""1033706526253273089"";https://twitter.com/nikkiiimaeee/status/1033706526253273089",,,,,,
";2018-08-26 17:17;0;0;""wtf"";;;;""1033644514940936193"";https://twitter.com/nikkiiimaeee/status/1033644514940936193",,,,,,
";2018-08-26 16:56;0;0;""sino si Marco?"";;;;""1033639211075690496"";https://twitter.com/nikkiiimaeee/status/1033639211075690496",,,,,,
";2018-08-26 16:23;1;2;""Pogi naman ni 4"," @ imdanielpadilla"";;@;;""1033631003212795904"";https://twitter.com/nikkiiimaeee/status/1033631003212795904",,,,,
";2018-08-26 12:22;0;2;""Hutang scheds ko kaya ini!!!"";;;;""1033570230058905601"";https://twitter.com/nikkiiimaeee/status/1033570230058905601",,,,,,
";2018-08-25 23:29;0;0;""kaniguan noy hahahaha"";;;;""1033375939600646144"";https://twitter.com/nikkiiimaeee/status/1033375939600646144",,,,,,
";2018-08-25 21:26;0;1;""So sleepyyy"";;;;""1033344749875290119"";https://twitter.com/nikkiiimaeee/status/1033344749875290119",,,,,,
";2018-08-25 21:14;0;1;""ako su nag angal simo"," din ka adon?"";;;;""1033341783520866304"";https://twitter.com/nikkiiimaeee/status/1033341783520866304",,,,,
";2018-08-25 14:17;0;6;""Mga parautot @ froilagrosa @ GarfinCesar"";;@ @;;""1033236860242288642"";https://twitter.com/nikkiiimaeee/status/1033236860242288642",,,,,,
";2018-08-24 22:40;0;0;""Gelo babyyy"";;;;""1033001052830748673"";https://twitter.com/nikkiiimaeee/status/1033001052830748673",,,,,,
";2018-08-24 21:30;0;1;""I lost my hair tie!!"";;;;""1032983402012528641"";https://twitter.com/nikkiiimaeee/status/1032983402012528641",,,,,,
";2018-08-24 18:16;0;0;""Bored"";;;;""1032934627197874177"";https://twitter.com/nikkiiimaeee/status/1032934627197874177",,,,,,
";2018-08-23 22:13;0;0;""Sakit na sa"";;;;""1032631945509842944"";https://twitter.com/nikkiiimaeee/status/1032631945509842944",,,,,,
";2018-08-22 22:43;0;1;""Back to work"";;;;""1032276963849719809"";https://twitter.com/nikkiiimaeee/status/1032276963849719809",,,,,,
";2018-08-22 17:48;0;1;""Can't wait to see ate Xen"";;;;""1032202793682055168"";https://twitter.com/nikkiiimaeee/status/1032202793682055168",,,,,,
";2018-08-21 13:43;0;1;""Yo' deaaad"";;;;""1031778785018826753"";https://twitter.com/nikkiiimaeee/status/1031778785018826753",,,,,,
";2018-08-21 10:13;0;0;""Headache!"";;;;""1031725958204538881"";https://twitter.com/nikkiiimaeee/status/1031725958204538881",,,,,,
";2018-08-20 20:43;0;0;""ano apod dyan?"";;;;""1031522221812903937"";https://twitter.com/nikkiiimaeee/status/1031522221812903937",,,,,,
";2018-08-20 12:19;0;1;""ang fresh"";;;;""1031395352941744128"";https://twitter.com/nikkiiimaeee/status/1031395352941744128",,,,,,
";2018-08-19 12:20;0;1;""walang kupas ang kafreshan neto"";;;;""1031033041232125952"";https://twitter.com/nikkiiimaeee/status/1031033041232125952",,,,,,
";2018-08-19 12:19;0;1;""huy Gill"," cheer up kung ano man yan"";;;;""1031032799870898176"";https://twitter.com/nikkiiimaeee/status/1031032799870898176",,,,,
";2018-08-19 09:00;0;0;""same pero magatolun hahaha"";;;;""1030982787472416768"";https://twitter.com/nikkiiimaeee/status/1030982787472416768",,,,,,
";2018-08-19 08:59;0;0;"""";;;;""1030982546949959680"";https://twitter.com/nikkiiimaeee/status/1030982546949959680",,,,,,
";2018-08-19 02:17;0;0;""Aga naman ng sundo ko haha bitinhttps://twitter.com/nikkaaaajane/status/1030860918215700480 …"";;;;""1030881346401386496"";https://twitter.com/nikkiiimaeee/status/1030881346401386496",,,,,,
";2018-08-17 22:07;0;0;""sila may gawa nyan sayo?"";;;;""1030456129992646656"";https://twitter.com/nikkiiimaeee/status/1030456129992646656",,,,,,
";2018-08-17 21:17;0;1;""get well!!!"";;;;""1030443412095348737"";https://twitter.com/nikkiiimaeee/status/1030443412095348737",,,,,,
";2018-08-17 21:15;0;0;""WEAK ASS PAPA'S BOY oops"";;;;""1030443079017353217"";https://twitter.com/nikkiiimaeee/status/1030443079017353217",,,,,,
";2018-08-17 20:52;0;5;""parent vs student tngna ano yun?!!!"";;;;""1030437168903122945"";https://twitter.com/nikkiiimaeee/status/1030437168903122945",,,,,,
";2018-08-17 00:08;0;0;""hahahaha"";;;;""1030124043205206022"";https://twitter.com/nikkiiimaeee/status/1030124043205206022",,,,,,
";2018-08-16 20:43;0;1;""It makes me over think"";;;;""1030072630840184832"";https://twitter.com/nikkiiimaeee/status/1030072630840184832",,,,,,
";2018-08-16 20:14;0;0;"""";;;;""1030065181382983680"";https://twitter.com/nikkiiimaeee/status/1030065181382983680",,,,,,
";2018-08-16 19:24;2;0;""Antok nanaman agad ako"";;;;""1030052564539035653"";https://twitter.com/nikkiiimaeee/status/1030052564539035653",,,,,,
";2018-08-16 10:19;0;0;""Belated happy birthday to one of my girl idols"," ate @ itsairacasim take care always & God bless po!"";;@;;""1029915620308017157"";https://twitter.com/nikkiiimaeee/status/1029915620308017157",,,,,
";2018-08-16 09:55;0;0;""kila kuya Pat pala yan! punta tayo pag di nako busy"";;;;""1029909391670046721"";https://twitter.com/nikkiiimaeee/status/1029909391670046721",,,,,,
";2018-08-15 20:38;2;5;""Antok na agad pero wala pang nasisimulan"";;;;""1029708794542968832"";https://twitter.com/nikkiiimaeee/status/1029708794542968832",,,,,,
";2018-08-15 18:30;0;1;""https://twitter.com/yungpoppy/status/1028991881261137920 …"";;;;""1029676700634820609"";https://twitter.com/nikkiiimaeee/status/1029676700634820609",,,,,,
";2018-08-14 21:31;0;0;""""Above all else"," guard your heart"" - Proverbs 4:23"";;;;""1029359955881549824"";https://twitter.com/nikkiiimaeee/status/1029359955881549824",,,,,
";2018-08-13 22:30;0;4;""We ain't safe @ Xenabatalla"";;@;;""1029012300336746496"";https://twitter.com/nikkiiimaeee/status/1029012300336746496",,,,,,
";2018-08-13 12:51;0;0;""Bad hair day"";;;;""1028866516672864256"";https://twitter.com/nikkiiimaeee/status/1028866516672864256",,,,,,
";2018-08-13 06:33;0;0;""4hrs of sleep"";;;;""1028771487824498688"";https://twitter.com/nikkiiimaeee/status/1028771487824498688",,,,,,
";2018-08-13 01:09;0;1;""It ain't my fault"";;;;""1028690017055465472"";https://twitter.com/nikkiiimaeee/status/1028690017055465472",,,,,,
";2018-08-12 19:45;0;3;""Last time Cinderella", Beauty and the Beast naman ngayon Sorry Pa," alam kong no choice ka nanaman"";;;;""1028608362072616961"";https://twitter.com/nikkiiimaeee/status/1028608362072616961",,,,
";2018-08-12 18:36;0;1;""Inaasar ako neto"";;;;""1028590936618491904"";https://twitter.com/nikkiiimaeee/status/1028590936618491904",,,,,,
";2018-08-12 14:35;0;1;""Wag ngayon please. Mag on ka!!"";;;;""1028530361502855168"";https://twitter.com/nikkiiimaeee/status/1028530361502855168",,,,,,
";2018-08-11 23:31;0;1;""You don't need to tweet everything that's happening in your life"";;;;""1028302929751552000"";https://twitter.com/nikkiiimaeee/status/1028302929751552000",,,,,,
";2018-08-11 23:01;0;0;""https://twitter.com/JitlgBiz/status/1027514572406542336 …"";;;;""1028295273590603776"";https://twitter.com/nikkiiimaeee/status/1028295273590603776",,,,,,
";2018-08-11 22:55;0;0;""SARAP SA EARS! Mulan!!! https://twitter.com/melogcanlas/status/1027883852428075008 …"";;;;""1028293919694450688"";https://twitter.com/nikkiiimaeee/status/1028293919694450688",,,,,,
";2018-08-11 21:42;0;0;""https://twitter.com/angeltann_/status/1028229996169424896 …"";;;;""1028275476509253635"";https://twitter.com/nikkiiimaeee/status/1028275476509253635",,,,,,
";2018-08-11 18:59;0;1;""WTF HAHAHAHAHA"";;;;""1028234499295854593"";https://twitter.com/nikkiiimaeee/status/1028234499295854593",,,,,,
";2018-08-11 18:11;1;0;""Happy tummy!!!"";;;;""1028222312254824448"";https://twitter.com/nikkiiimaeee/status/1028222312254824448",,,,,,
";2018-08-10 06:31;0;3;""Nakakatamad pumasoook"";;;;""1027683882311663616"";https://twitter.com/nikkiiimaeee/status/1027683882311663616",,,,,,
";2018-08-09 20:45;0;5;""The sleepiest"";;;;""1027536281163579393"";https://twitter.com/nikkiiimaeee/status/1027536281163579393",,,,,,
";2018-08-09 12:14;0;1;""whyyy"";;;;""1027407642715516928"";https://twitter.com/nikkiiimaeee/status/1027407642715516928",,,,,,
";2018-08-08 21:18;0;0;""HAHAHAHAHAhttps://twitter.com/nikkooojames/status/1027142007376904192 …"";;;;""1027182228940316672"";https://twitter.com/nikkiiimaeee/status/1027182228940316672",,,,,,
";2018-08-08 12:11;0;3;""Pwede man ako san ate? https://twitter.com/nikkaaaajane/status/1026899326218321920 …"";;;;""1027044518825058304"";https://twitter.com/nikkiiimaeee/status/1027044518825058304",,,,,,
";2018-08-08 12:09;0;1;""ay wow !!!!!"";;;;""1027044083032702976"";https://twitter.com/nikkiiimaeee/status/1027044083032702976",,,,,,
";2018-08-06 22:10;0;0;""https://twitter.com/robgarol/status/1025758188593864704 …"";;;;""1026470663911960577"";https://twitter.com/nikkiiimaeee/status/1026470663911960577",,,,,,
";2018-08-06 18:59;0;0;""I'm hereee"";;;;""1026422610056204288"";https://twitter.com/nikkiiimaeee/status/1026422610056204288",,,,,,
";2018-08-05 14:31;0;0;""Cravings"";;;;""1025992724103618560"";https://twitter.com/nikkiiimaeee/status/1025992724103618560",,,,,,
";2018-08-05 11:34;0;1;""Aaaah today is rest day!"";;;;""1025948134973759488"";https://twitter.com/nikkiiimaeee/status/1025948134973759488",,,,,,
";2018-08-05 01:09;0;0;"""";;;;""1025790884963540992"";https://twitter.com/nikkiiimaeee/status/1025790884963540992",,,,,,
";2018-08-05 00:45;0;2;"""";;;;""1025784724621389824"";https://twitter.com/nikkiiimaeee/status/1025784724621389824",,,,,,
";2018-08-04 11:45;0;0;""same"";;;;""1025588508625235968"";https://twitter.com/nikkiiimaeee/status/1025588508625235968",,,,,,
";2018-08-03 22:40;0;2;""Another long tiring day tomorrow"";;;;""1025391017028022272"";https://twitter.com/nikkiiimaeee/status/1025391017028022272",,,,,,
";2018-08-03 01:03;0;0;"""";;;;""1025064489660502016"";https://twitter.com/nikkiiimaeee/status/1025064489660502016",,,,,,
";2018-08-02 12:40;0;2;""Athletics"";;;;""1024877685976100864"";https://twitter.com/nikkiiimaeee/status/1024877685976100864",,,,,,
";2018-08-02 00:11;0;0;""???!!!!!"";;;;""1024689033148915712"";https://twitter.com/nikkiiimaeee/status/1024689033148915712",,,,,,
";2018-08-01 14:43;0;0;""what happened"";;;;""1024546210047188992"";https://twitter.com/nikkiiimaeee/status/1024546210047188992",,,,,,
";2018-07-30 23:34;0;1;""Oh boi"," yo makin ma heart flutter"";;;;""1023955114543857664"";https://twitter.com/nikkiiimaeee/status/1023955114543857664",,,,,
";2018-07-30 22:15;0;2;""nag dala ka din dapat ng props na baton"," nlibot mo sana yung astro congrats din!"";;;;""1023935234029436928"";https://twitter.com/nikkiiimaeee/status/1023935234029436928",,,,,
";2018-07-30 17:47;0;6;""Garu ko na tukawan kanina habang naga kanya-kanyang pasali na sinda"";;;;""1023867752757440512"";https://twitter.com/nikkiiimaeee/status/1023867752757440512",,,,,,
";2018-07-30 17:25;1;17;""Where's the poise?"";;;;""1023862230868086784"";https://twitter.com/nikkiiimaeee/status/1023862230868086784",,,,,,
";2018-07-30 08:03;0;0;""yes pls haha"";;;;""1023720777269432321"";https://twitter.com/nikkiiimaeee/status/1023720777269432321",,,,,,
";2018-07-29 02:45;0;1;""Tulog na Nikki"," mag papagod ka pa sa scheds mo mamayang pagising mo"";;;;""1023278346224816128"";https://twitter.com/nikkiiimaeee/status/1023278346224816128",,,,,
";2018-07-29 02:03;0;0;""Jgh"";;;;""1023267755884130304"";https://twitter.com/nikkiiimaeee/status/1023267755884130304",,,,,,
";2018-07-28 17:07;0;0;""Takbo dito"," takbo doon hay buhay"";;;;""1023132933375188993"";https://twitter.com/nikkiiimaeee/status/1023132933375188993",,,,,
";2018-07-28 09:36;0;5;""Today's gonna be another looooong tiring day"";;;;""1023019362846834690"";https://twitter.com/nikkiiimaeee/status/1023019362846834690",,,,,,
";2018-07-27 22:43;0;0;""Fck diz hectic scheds"";;;;""1022854934981570566"";https://twitter.com/nikkiiimaeee/status/1022854934981570566",,,,,,
";2018-07-27 22:34;0;1;""sakit na tuloy ng lalamunan ko kakasalita kanina daldal mo kasi haha"";;;;""1022852858587172864"";https://twitter.com/nikkiiimaeee/status/1022852858587172864",,,,,,
";2018-07-27 18:06;0;1;""Sana di nako paos sa monday"";;;;""1022785302060920832"";https://twitter.com/nikkiiimaeee/status/1022785302060920832",,,,,,
";2018-07-27 14:55;0;0;""Thank you"," sir idol!"";;;;""1022737211777679361"";https://twitter.com/nikkiiimaeee/status/1022737211777679361",,,,,
";2018-07-27 12:34;0;4;""God's plan"";;;;""1022701854814171137"";https://twitter.com/nikkiiimaeee/status/1022701854814171137",,,,,,
";2018-07-27 06:19;0;0;""Natulog ng pagod"," pag gising pagod parin"";;;;""1022607448618614784"";https://twitter.com/nikkiiimaeee/status/1022607448618614784",,,,,
";2018-07-26 22:33;0;0;""Soooooooo tired"";;;;""1022490053765881857"";https://twitter.com/nikkiiimaeee/status/1022490053765881857",,,,,,
